0.0000;4.4600
0.0137;4.4151
0.0268;4.1754
0.0399;3.9372
0.0552;3.8218
0.0676;3.9687
0.0756;4.2290
0.0811;4.4756
0.0851;4.7460
0.0892;5.0217
0.0922;5.2958
0.0951;5.5649
0.0980;5.8215
0.1009;6.0696
0.1037;6.3781
0.1066;6.7118
0.1095;7.0387
0.1124;7.3690
0.1153;7.7094
0.1181;8.0514
0.1210;8.3935
0.1239;8.7355
0.1268;9.0776
0.1297;9.4196
0.1325;9.7617
0.1354;10.0970
0.1381;10.4400
0.1412;10.7207
0.1441;10.9890
0.1469;11.3227
0.1498;11.6429
0.1527;11.9581
0.1557;12.1985
0.1599;12.4494
0.1657;12.7428
0.1730;12.9775
0.1853;13.1978
0.2014;13.2883
0.2174;13.1768
0.2334;12.9637
0.2480;12.7646
0.2589;12.5416
0.2670;12.3233
0.2743;12.1060
0.2816;11.8786
0.2881;11.6538
0.2940;11.4350
0.2998;11.1986
0.3057;10.9471
0.3115;10.6755
0.3166;10.4407
0.3217;10.1976
0.3257;9.9672
0.3320;9.7147
0.3378;9.4532
0.3437;9.2042
0.3495;8.9476
0.3554;8.7037
0.3612;8.4723
0.3671;8.2485
0.3729;8.0347
0.3795;7.7983
0.3868;7.5448
0.3941;7.2973
0.4014;7.0538
0.4087;6.8184
0.4160;6.5971
0.4240;6.3748
0.4335;6.1628
0.4466;5.9646
0.4626;5.8951
0.4786;6.0076
0.4946;6.2188
0.5106;6.4036
0.5266;6.4566
0.5427;6.3423
0.5558;6.1384
0.5667;5.9170
0.5791;5.6924
0.5937;5.4689
0.6097;5.2924
0.6257;5.1625
0.6418;5.0446
0.6578;4.8964
0.6738;4.7162
0.6899;4.5214
0.7059;4.3961
0.7219;4.3577
0.7379;4.3906
0.7539;4.4592
0.7699;4.4931
0.7859;4.4656
0.8020;4.4053
0.8180;4.3385
0.8340;4.3221
0.8500;4.3641
0.8660;4.4318
0.8820;4.4757
0.8980;4.4647
0.9141;4.4080
0.9301;4.3358
0.9461;4.2974
0.9621;4.3303
0.9781;4.3824
0.9941;4.4373
1.0101;4.4236
1.0262;4.3330
1.0422;4.2571
1.0582;4.2032
1.0742;4.2535
1.0902;4.4510
1.0989;4.5287
1.1;4.4600
